location1Name,location2Name,travelTimeMinutes,travelDistanceKilometers
"Jonker, R.M.J.",APMT,149,226
"Jonker, R.M.J.","Arnhem, goederenemplacement",62,88
"Jonker, R.M.J.","Bad Bentheim, empl. / staalfabriek",28,35
"Jonker, R.M.J.","Bad Bentheim, Hilgenstiege sp.25",27,35
"Jonker, R.M.J.","Beverwijk, emplacement",111,173
"Jonker, R.M.J.","Blerick, emplacement en werkplaats",113,173
"Jonker, R.M.J.","Born, emplacement",143,222
"Jonker, R.M.J.","Botlek, emplacement",131,201
"Jonker, R.M.J.",Bottrop,86,106
"Jonker, R.M.J.","Coevorden, euroterminal",49,62
"Jonker, R.M.J.",Deventer goed. empl.,35,45
"Jonker, R.M.J.","Deventer, goederenemplacement",36,45
"Jonker, R.M.J.","Dordrecht, dok",122,189
"Jonker, R.M.J.","Dortmund Obereving, emplacement",109,147
"Jonker, R.M.J.",Duisburg Ruhrorthafen,93,119
"Jonker, R.M.J.","Duisburg, Hochfeld Süd Vorbahnhof",94,128
"Jonker, R.M.J.",ECT,152,229
"Jonker, R.M.J.","Eindhoven, emplacement",108,164
"Jonker, R.M.J.","Eindhoven, emplacement Acht",110,168
"Jonker, R.M.J.",Eltville Ost,245,361
"Jonker, R.M.J.","Emmerich, station",77,88
"Jonker, R.M.J.",Euromax,155,236
"Jonker, R.M.J.","Europoort, emplacement",137,212
"Jonker, R.M.J.","Gekkengraaf, emplacement",111,171
"Jonker, R.M.J.",Germersheim,294,460
"Jonker, R.M.J.",Goes,175,269
"Jonker, R.M.J.","Hengelo, emplacement",13,6
"Jonker, R.M.J.","Herzogenrath, station",163,232
"Jonker, R.M.J.",Holland Cargo Terminal,105,162
"Jonker, R.M.J.","Houtrakpolder, emplacement",101,159
"Jonker, R.M.J.","IJsselmonde, emplacement",122,184
"Jonker, R.M.J.","Kaldenkirchen, station",117,181
